# Non-merge commits touching src/mgr/ActivePyModules.cc and/or src/mgr/ActivePyModules.h (rename-aware, newest first)
# Format: SHA date author | subject
# collected_at: 2026-09-14T18:08:19Z  head: 8681fa6ebac230f86eb445bf57095c63e7f1abcc
#
7c68a00cce5b7769c2e34fb7611d14825283fcda 2026-01-21 NitzanMordhai | mgr/PyFormatter: prevent segfault on non-printable characters
42c4dfb40ceccd7a1ae98b360592456d8d67346e 2026-08-11 Nitzan Mordechai | mgr: don't log NotImplementedError from dispatch_remote as an error
078b140ad162c8cb88f651ff9ab1be32af997588 2026-06-03 Steven Zuraski | mgr/ActivePyModules: refactor perf schema section management to use RAII
403340bcf8c2122afff708519f176baa6b646fc1 2025-07-17 Nitzan Mordechai | mgr: replace TTLCache with MgrMapCache and protect api with readonly
95a90f7da8a32dd2a5a1e3b381aaeacea378437b 2024-12-08 Nitzan Mordechai | mgr: Add per-module performance counters to mgr
f410c49e609ce883c76d7277c133f5c64a8eeb53 2026-04-16 Steven Zuraski | mgr: Properly set description in labeled get_perf_schema_python
35f6dd06dd0b3c78235e21ac309e4226aa733af1 2025-08-14 Max Kellermann | mgr/DaemonState: move PerfCounters classes to separate sources
b1c1ddaf0b771420e0905cd47e33919de5e11fd5 2026-04-04 Lumir Sliva | mgr: guard close_section calls in get_perf_schema_python
68221661b00f8a6bef0fbd7b5401aa49eb5118d0 2025-09-11 Laura Flores | mgr, qa: add `pending_modules` to asock command
cbd1726fde08692848b5c0e42c06e4f089ebcd5c 2025-04-25 Laura Flores | mgr: ensure that all modules have started before advertising active mgr
26d10b300e59fe656feafc6a86ae4ff1f4e2c3dd 2026-01-07 NitzanMordhai | mgr/ActivePyModules: fix dangling string_view in get_perf_schema_python
f69069e114ea8c785d6c27c57560a0b9bb8c16be 2025-10-24 Samuel Just | mgr: serialize python objects sent between subinterpreters via remote
7fadf6a8d464456668550e1f85c6c5a86f94bb49 2025-08-26 Nitzan Mordechai | mgr/TTLCache: fix PyObject* lifetime management and cleanup logic
4adaf64d7187778965f1a0f6e7d04efc809a2a7b 2025-10-02 Edwin Rodriguez | Add blank line after header block
85d82faac250716549ebffeb9eb48f3b4f53711f 2025-10-01 Edwin Rodriguez | Update indent settings h
c8c1019d1962166fa290d2f8cc8f2c40cd016168 2025-10-02 Edwin Rodriguez | Add missing blank line after comment block
f1bac41828da8775acb7ea30ff5e3ce2bfe65bde 2025-10-01 Edwin Rodriguez | Update indent settings cc
f82ab1cbf242ca61c45ce31a756d8646710957eb 2025-08-12 Max Kellermann | mgr, mon, osdc: pass complex parameters by rvalue reference
a17349b87afd4b4e66dfe50796e1594b47b13aba 2025-08-12 Max Kellermann | mgr: add missing includes
6d3cababa19361d2573207bb480552bf52d50271 2025-03-19 Naveen Naidu | mgr: add new API's to fetch latest perf counter values
a4aebd83907a7d4f1ed5275b0adccf6d491bc296 2025-03-19 Naveen Naidu | mgr: add new API to fetch labeled perf schema
f941025561ecd6e42b032980d77555ef2540aa70 2025-03-19 Naveen Naidu | mgr: do not ignore labeled perf counters in MMgrReport
a81901e1a23de02d39bfb1b270b4f8d8a0f273aa 2025-03-19 Naveen Naidu | mgr: rename APIs for fetching perf schema and perf counter values to indicate that they only work on unlabeled counters.
706b2be416246dd5923478d8a7ee015246f03e95 2025-01-30 Patrick Donnelly | mgr: use std namespace
f20df2eb8545f2a4fc16acdde5edcb611868522e 2025-01-30 Patrick Donnelly | mgr: excise CephFS client from mgr C++ base
078d00939ead68a8c6759bd11b7b71a7ef13fbe2 2024-11-24 Max Kellermann | mgr/ActivePyModules: add missing include
9d47b164afde3529d43f142356980e3d9853e07f 2024-10-10 Max Kellermann | mgr/ActivePyModule: return std::string_view instead of std::string copy
dd9f9e268b5562bae8972bce03ec0970f353ae14 2023-11-02 Ramana Raja | mgr/Mgr: remove shutdown() and handle_signal()
4b1e82eaaa602dfa3e21b5adc0e9a7ae24359974 2021-11-16 Sage Weil | mon/ConfigMap: push kv parsing logic into add_option()
e65f676cd17836b2144fca82408412fe9e21fdaf 2021-11-16 Sage Weil | mon/ConfigMap: use ValueSource type for generate_entity_map()
e72194b42ce1921e4b687fbed94e9d199923e77b 2023-02-27 Patrick Donnelly | mgr: rework register_client to take name and replace
a586dcc57ab35a269f0c271756951d49f422662d 2023-02-15 Ramana Raja | mgr: take a lock within PyModuleRegistry's mutators and accessor
46de6431603a56fa9ca2a7c7c9c795f126d16452 2022-10-17 Kotresh Hiremath Ravishankar | mgr: Add one finisher thread per module
8ed66d3087ef9437bf406569e825d3115db1968d 2022-04-18 Josh Salomon | osd, mon: add read balance score to command `ceph osd pool ls detail` for replicated pools.
5a2b7c25b68f2c955356640041e4c7ed72416d4e 2022-11-11 Pere Diaz Bou | mgr/prometheus: expose daemon health metrics
133a46e8fd96f24184d129a4b0898c65263221a2 2022-12-16 Mykola Golub | mgr: don't dump global config holding gil
1e81118e328eddd270911cbfe3dab721cc0b554e 2022-12-16 Mykola Golub | mgr: drop redundant release-acquire gil
aeca2e41ef560cf51c1ad935cfb6470e782aa8d5 2022-03-17 Prashant D | mgr, mgr/prometheus: Fix regression with prometheus metrics
c2470f271cce4d512f2cf00552c9b753e4c69f71 2021-06-29 Jos Collin | mgr, pybind/mgr, mgr/stats: be resilient to offline rank0 MDS
0878150f8b89e53a55f6cd61dd5a1c4c7c5114d7 2022-01-21 Adam C. Emerson | mgr: Remove straggling `using namespace std` from headers
7a4e7475366b13ea78962424e5e4cb27bfdc03ee 2021-12-22 Laura Flores | mgr: expose rocksdb version number in the mgr module
2db1aaabe5f4627bb7b177ab3441593f08aa7cbe 2021-10-28 Benoît Knecht | mgr/ActivePyModules: Add metadata id in dump_server()
