# Non-merge commits touching src/mgr/ClusterState.cc and/or src/mgr/ClusterState.h (rename-aware, newest first)
# Format: SHA date author | subject
# collected_at: 2026-09-14T18:08:19Z  head: 8681fa6ebac230f86eb445bf57095c63e7f1abcc
#
0bac6af3c18a989771e2d5bb9199f8aae64943f8 2026-05-19 Nitzan Mordechai | mgr/ClusterState: remove debug 30 memory spike
4adaf64d7187778965f1a0f6e7d04efc809a2a7b 2025-10-02 Edwin Rodriguez | Add blank line after header block
85d82faac250716549ebffeb9eb48f3b4f53711f 2025-10-01 Edwin Rodriguez | Update indent settings h
c8c1019d1962166fa290d2f8cc8f2c40cd016168 2025-10-02 Edwin Rodriguez | Add missing blank line after comment block
f1bac41828da8775acb7ea30ff5e3ce2bfe65bde 2025-10-01 Edwin Rodriguez | Update indent settings cc
3ab70dd3e1150b2b3f66cbbee329ea95618747a5 2024-10-16 Max Kellermann | common/Formatter: move {JSON,Table,XML}Formatter to separate files
70b41ea1ee8388d0e5910fd0a3ca3c9fb9e645ec 2025-06-06 Kamoltat Sirivadhna | src/mgr/ClusterState.cc: micro improve ingest_pgstats
327b3de54eeca80d84fc4cd2da1b2917aca9b791 2024-10-29 Max Kellermann | mgr/ClusterState: move own header to the top
dd9f9e268b5562bae8972bce03ec0970f353ae14 2023-11-02 Ramana Raja | mgr/Mgr: remove shutdown() and handle_signal()
07ad8df2dd74f2fb4bbde6332a04cc5453bff435 2021-10-23 Sage Weil | common/admin_socket: pass inbl to sync call() method
c63ecb602e5916d5e0beed137787fdfc67707f15 2021-08-11 Kefu Chai | mgr: build without "using namespace std"
9c652fb305a3e3d1b4a752bac9bd8a85d15c7de9 2020-12-24 Kefu Chai | mgr/ActivePyModules.cc: use wrappers for acquiring/releasing GIL
493ec9d3acd3f57eed3e4b96ad7c6739c2089ff1 2020-07-29 Zhi Zhang | mgr: don't update osd stat which is already out
da362675da51de8b20a12e4cec479a77c7f5442b 2020-03-27 Radoslaw Zarzynski | mgr: synchronize ClusterState's health and mon_status.
a54d0a90c06aed1ae26826d7d5317ba13e18c86e 2020-01-17 Chunmei Liu | crimson:common add TOPNSPC namespace for ceph and crimson
5d5b0f96df39fd0c7e7ae5998043d53cd785b18e 2020-01-31 Kefu Chai | src/: drop cct from cmd_getval()
adf1486e46cb1f7820c77adb7b6436c47c743242 2019-09-19 Sage Weil | common/admin_socket: pass Formatter from generic infrastructure
a4c07734bf9e1da0c4f31c83f5dcb611cc8b449b 2019-09-13 Sage Weil | common/admin_socket: pass ostream to call() for error output
9d772b8ea9e582075009cea6b8a6b6868e8e531a 2019-09-06 Sage Weil | common/admin_socket: return int from hook call()
1a7cdedb56015485cfd6c9dcf767176d1e850f12 2019-09-05 Sage Weil | common/admin_socket: drop explicit prefix arg to register_command
6d2e4cb109caff8dae5e5e18563b6305131b488b 2019-09-06 David Zafman | test: Allow fractional milliseconds to make test possible
5f83a6158b29944cf8f5a069c50edba3e172cdcc 2019-09-04 David Zafman | osd doc mon mgr: To milliseconds for config value, user input and threshold out
9d02e5d39d7b5e2806a5d98bdde24f4584e70528 2019-08-05 David Zafman | osd mon mgr: Convert all network ping time output to milliseconds
048f8096265dd3a647adb970255e4b11c9617b2e 2019-07-22 David Zafman | osd mgr: Add osd_mon_heartbeat_stat_stale option to time out ping info after 1 hour
