# Non-merge commits touching src/mgr/DaemonServer.cc and/or src/mgr/DaemonServer.h (rename-aware, newest first)
# Format: SHA date author | subject
# collected_at: 2026-09-14T18:08:19Z  head: 8681fa6ebac230f86eb445bf57095c63e7f1abcc
#
ffd759b34b940830b982bf0525e7f3a299b77298 2025-07-21 Patrick Donnelly | msg: constify getter
a996144cb35051567a0ca9e2dd81a978598ba505 2026-07-21 Sunnatillo | mgr/DaemonServer: erase daemon_connections ref on reset for all peer types
1cd0421b01cfa962a8ba4ef212b97d1674efd1dc 2026-08-07 Kefu Chai | mgr: drop the duplicate heap asok command from DaemonServer
fd4d4ce58b8616a8d87e244bb5f3c367dd20cf63 2026-05-21 Steven Zuraski | mgr/DaemonServer: add explicit DaemonServer shutdown handling
460b2c8b09fe6bcbb6ce722d29804c10ea85b26e 2026-05-14 Laura Flores | mgr, osd: remove pg_upmap_primary mappings for PG merge targets
afd0b924e2173bce863571f17dfb7d21ab3e1cfd 2026-07-20 Sridhar Seshasayee | mgr/DaemonServer: Make an ok-to-upgrade error message more generic
948de224df12b8b383460b86ba520b191dc275bc 2026-06-08 Nitzan Mordechai | mgr: fix dispatch throttle bottleneck causing OSD connection timeouts
6761549c5a719f541a850f243318a1212b76c0a6 2026-05-06 Sridhar Seshasayee | mgr/DaemonServer: Aggregate and globally sort OSDs for ok-to-upgrade
e8e47abef6cd7f9de46ce603c675b6bc478eb0e5 2026-05-17 Nitzan Mordechai | mgr/DaemonServer: add heap command to mgr
dd7f8af9d643e03d4b2ea5504a5e20c53e86b661 2026-05-06 Sridhar Seshasayee | mgr/DaemonServer: clarify ok-to-upgrade error message for CRUSH buckets
dcd9c5bac5e2670efd726e1ae89bc264bd404671 2026-05-27 senol.colak | mgr: override OSD hostname with CRUSH physical host in all metadata paths
027a609a8274b932e55e3aa529f33217de31a15b 2025-09-18 Nitzan Mordechai | mgr/DaemonServer: auto-tune stats period when message queue gets backed up
f18093fc09bfedbb02cbe7967fc85b2dea9ff71f 2026-03-25 Sridhar Seshasayee | mgr/DaemonServer: Limit search for OSDs to upgrade within the crush bucket.
fdc072f15da7ec4c918a1ebff439f6ce4922f33f 2025-09-12 Laura Flores | mgr, qa: clarify module checks in DaemonServer
8177e48e5c800e8bdcebd46fcaa51fbe5ea126cc 2026-02-13 Sridhar Seshasayee | mgr/DaemonServer: Re-order OSDs in crush bucket to maximize OSDs for upgrade
c63b188a9fb1431827b2299c5dfa2074c078854a 2025-10-27 Sridhar Seshasayee | mgr/DaemonServer: Implement ok-to-upgrade command
cf54988c504a7819c88bbd78d1a7f766b705ca43 2026-02-02 Sridhar Seshasayee | mgr/DaemonServer: Modify offline_pg_report to handle set or vector types
4adaf64d7187778965f1a0f6e7d04efc809a2a7b 2025-10-02 Edwin Rodriguez | Add blank line after header block
85d82faac250716549ebffeb9eb48f3b4f53711f 2025-10-01 Edwin Rodriguez | Update indent settings h
c8c1019d1962166fa290d2f8cc8f2c40cd016168 2025-10-02 Edwin Rodriguez | Add missing blank line after comment block
f1bac41828da8775acb7ea30ff5e3ce2bfe65bde 2025-10-01 Edwin Rodriguez | Update indent settings cc
f82ab1cbf242ca61c45ce31a756d8646710957eb 2025-08-12 Max Kellermann | mgr, mon, osdc: pass complex parameters by rvalue reference
3ab70dd3e1150b2b3f66cbbee329ea95618747a5 2024-10-16 Max Kellermann | common/Formatter: move {JSON,Table,XML}Formatter to separate files
a17349b87afd4b4e66dfe50796e1594b47b13aba 2025-08-12 Max Kellermann | mgr: add missing includes
d8141f4302ad7631a3a068e5017e9b018d6cb741 2025-04-25 Kefu Chai | mgr: migrate from boost::variant to std::variant
2d4b4235fc255fd2a9b114627d9697718795790b 2025-02-25 Ronen Friedman | mon,mgr: replace obsolete get_tracked_conf_keys()
c9d0913f53b0c4d632746075c05c2f2187d77c02 2025-02-18 Patrick Donnelly | msg: add alternate statuses for ms_dispatch2 handling
706b2be416246dd5923478d8a7ee015246f03e95 2025-01-30 Patrick Donnelly | mgr: use std namespace
edd96f9b05e6e665c5228ba28741568ca9d2ca6c 2025-02-17 Max Kellermann | include/unordered_{map,set}: remove, use `std` directly instead
6e7e13e07b6afb2d453fcac52ce0f569e315292e 2024-10-29 Max Kellermann | mgr/DaemonServer: include cleanup
618025908cc0389bbf0d237e0b124240e3c13aa4 2024-12-05 Konstantin Shalygin | mgr/DaemonServer: fixed mistype for mgr_osd_messages
bfbfbbfed6c02a913d0fcfd6a97071acafb95378 2023-08-10 Patrick Donnelly | mon/MonClient: handle ms_handle_fast_authentication return
66efcaae7a05abaefb12758239b0e1ad5cbd85c9 2023-12-21 Prashant D | mgr: integrate optracker in ceph-mgr
2af36160b01ee1b6ceead47096ea7cc97c4e9501 2024-02-27 Samuel Just | mgr/DaemonServer: decouple adjust_pgs max from mon_osd_max_creating_pgs
37b6ed2775fddae670200f4c7427a5204efe128f 2024-02-27 Samuel Just | mgr/DaemonServer: fix debug message typo (max->max_misplaced)
dd9f9e268b5562bae8972bce03ec0970f353ae14 2023-11-02 Ramana Raja | mgr/Mgr: remove shutdown() and handle_signal()
b88cecdc7c3dc048550f634ecadc04f661f0fabc 2022-09-06 Aishwarya Mathuria | DaemonServer.cc: fix config show command for RGW daemons
28c666eb80100cb2964239ac59ec339225fef3ee 2023-07-20 ericqzhao | mgr: add throttle policy for DaemonServer This commit fix the throttle parameter of osd does not take effect for mgr Fixes: https://tracker.ceph.com/issues/61942
3e2075103a0ab6b7ced5800db1d44d13b1c8b7e6 2023-07-10 Patrick Donnelly | msg: indicate ms_handle_authentication is fast
69980823e62f67d502c4045e15c41c5c44cd5127 2023-07-02 Patrick Donnelly | mgr: register OSDs in ms_handle_accept
e27f6c6a856d6ba7cad08bb933ec84e226aae6ad 2023-03-01 Radoslaw Zarzynski | msg: always generate random nonce; don't try to reuse PID
46de6431603a56fa9ca2a7c7c9c795f126d16452 2022-10-17 Kotresh Hiremath Ravishankar | mgr: Add one finisher thread per module
5a2b7c25b68f2c955356640041e4c7ed72416d4e 2022-11-11 Pere Diaz Bou | mgr/prometheus: expose daemon health metrics
dd05ee3379913668528583991456806bb56f5590 2022-07-07 Radoslaw Zarzynski | mgr: fix a race condition in DaemonServer::handle_report()
241393d1c31d2de4d788331f1ff36a4415ea2354 2022-06-20 Matan Breizman | osd: MOSDScrub cleanup
6540937a6d1865642dd799b4996d85d2ee9a99ad 2022-06-24 Prashant D | mgr: Remove service_daemon handling from MMgrUpdate
10d2d2e2dd613badd0801763b0586d524dfc2121 2022-06-21 Kamoltat Sirivadhna | src/mgr/DaemonServer.cc: fix typo in output gap >= max_pg_num_change
cc2721ccdb33248a732abd1919df808ef8a1f80f 2022-04-21 Mykola Golub | mgr: relax "pending_service_map.epoch > service_map.epoch" assert
1a065043b964f8c014ebb5bc890a243c398ff07c 2022-03-28 Prashant D | mgr, mon: Keep upto date metadata with mgr for MONs
c2470f271cce4d512f2cf00552c9b753e4c69f71 2021-06-29 Jos Collin | mgr, pybind/mgr, mgr/stats: be resilient to offline rank0 MDS
d3c8f171e9aaa9cbf970b6dadda5837ca9b030c7 2021-12-02 Sage Weil | mgr: stop issuing events that no modules consume
3b2a11249aff6ee608efc95212d6723df180cd07 2021-11-30 Sage Weil | mgr: limit changes to pg_num
c63ecb602e5916d5e0beed137787fdfc67707f15 2021-08-11 Kefu Chai | mgr: build without "using namespace std"
5e7f55318e40d37cb233fc43705d19e74a20dfd1 2021-07-04 Kefu Chai | mgr/DaemonServer: use "unsigned" to represent the pgp num
3f15749de0d550a124f8c6afbd457f17ef020963 2021-06-29 Dan van der Ster | mgr/DaemonServer: skip redundant update of pgp_num_actual
c70a4f583c7bca7d240d13495b8c1571514847f2 2021-05-24 Sage Weil | mgr: fix reweight-by-utilization cephbool flag
b4316d257e928b3789b818054927c2e98bb3c0d6 2021-05-28 Cory Snyder | mgr/DaemonServer.cc: prevent integer underflow that is triggered by large increases to pg_num/pgp_num
e29f1a5ec16c00f70c7b505769fbefe98db03d1b 2021-05-20 Kefu Chai | common/cmdparse: return cmd option using return value
bb56c30167bed615db86aff5290550a887b3731a 2021-03-19 Patrick Donnelly | mgr: add debug output for commands dispatched
4d447092c3542bf57dfb4942db766adf2923c069 2021-03-18 Sage Weil | mon/MgrStatMonitor: ignore MMgrReport from non-active mgr
2cce16537c9f9e92bf0a8fce746d0364cbb2d15d 2021-03-04 Sage Weil | mgr/DaemonServer: osd ok-to-stop: return json when there are unknown PGs
fb778a3205801a49e4f9c4d3bd24e07dfb410a44 2021-02-26 Sage Weil | mgr/DaemonServer: make warning language a bit friendlier
79beb0362764e280c01bea8ca9cf9a0fc48e7706 2021-02-19 Kefu Chai | mgr/DaemonServer: do not support osd < octopus
791952cc01201010f298033003ba52374cc0159f 2021-02-20 Sage Weil | mgr/DaemonServer: include details in 'osd ok-to-stop' output
722f57dee1306007c9059711a93b445bbd9079ec 2021-02-20 Sage Weil | mgr: add --max <n> to 'osd ok-to-stop' command
