# Function list for DaemonServer (via ctags)
# Format: qualified_name | file:line
#
CommandContext | src/mgr/DaemonServer.cc:961
CommandContext | src/mgr/DaemonServer.cc:966
DaemonServer | src/mgr/DaemonServer.cc:87
DaemonServerHook | src/mgr/DaemonServer.cc:163
ReplyOnFinish | src/mgr/DaemonServer.cc:1017
__anon024734b10202 | src/mgr/DaemonServer.cc:83
__anon024734b10302 | src/mgr/DaemonServer.cc:424
__anon024734b10402 | src/mgr/DaemonServer.cc:502
__anon024734b10502 | src/mgr/DaemonServer.cc:519
__anon024734b10602 | src/mgr/DaemonServer.cc:535
__anon024734b10702 | src/mgr/DaemonServer.cc:1087
__anon024734b10802 | src/mgr/DaemonServer.cc:1105
__anon024734b10902 | src/mgr/DaemonServer.cc:1335
__anon024734b10a02 | src/mgr/DaemonServer.cc:1625
__anon024734b10b02 | src/mgr/DaemonServer.cc:1706
__anon024734b10c02 | src/mgr/DaemonServer.cc:1777
__anon024734b10d02 | src/mgr/DaemonServer.cc:1787
__anon024734b10e02 | src/mgr/DaemonServer.cc:1826
__anon024734b10f02 | src/mgr/DaemonServer.cc:1839
__anon024734b11002 | src/mgr/DaemonServer.cc:1854
__anon024734b11102 | src/mgr/DaemonServer.cc:1908
__anon024734b11202 | src/mgr/DaemonServer.cc:1965
__anon024734b11302 | src/mgr/DaemonServer.cc:1998
__anon024734b11402 | src/mgr/DaemonServer.cc:2050
__anon024734b11502 | src/mgr/DaemonServer.cc:2071
__anon024734b11602 | src/mgr/DaemonServer.cc:2120
__anon024734b11702 | src/mgr/DaemonServer.cc:2142
__anon024734b11802 | src/mgr/DaemonServer.cc:2281
__anon024734b11902 | src/mgr/DaemonServer.cc:2296
__anon024734b11a02 | src/mgr/DaemonServer.cc:2352
__anon024734b11b02 | src/mgr/DaemonServer.cc:2387
__anon024734b11c02 | src/mgr/DaemonServer.cc:2477
__anon024734b11d02 | src/mgr/DaemonServer.cc:2496
__anon024734b11e02 | src/mgr/DaemonServer.cc:2563
__anon024734b11f02 | src/mgr/DaemonServer.cc:2877
__anon024734b12002 | src/mgr/DaemonServer.cc:2889
__anon024734b12702 | src/mgr/DaemonServer.cc:3088
__anon024734b12802 | src/mgr/DaemonServer.cc:3129
__anon024734b12902 | src/mgr/DaemonServer.cc:3184
__anon024734b12a02 | src/mgr/DaemonServer.cc:3306
__anon024734b12b02 | src/mgr/DaemonServer.cc:3320
__anon024734b12c02 | src/mgr/DaemonServer.cc:3387
__anon024734b12d02 | src/mgr/DaemonServer.cc:3715
__anon024734b12e02 | src/mgr/DaemonServer.cc:3766
__anon024734b12f02 | src/mgr/DaemonServer.cc:3767
__anon024734b13002 | src/mgr/DaemonServer.cc:3818
_allowed_command | src/mgr/DaemonServer.cc:916
_check_offlines_pgs | src/mgr/DaemonServer.cc:1068
_generate_command_map | src/mgr/DaemonServer.cc:879
_get_mgrcommand | src/mgr/DaemonServer.cc:902
_handle_command | src/mgr/DaemonServer.cc:1568
_maximize_ok_to_stop_set | src/mgr/DaemonServer.cc:1156
_maximize_ok_to_upgrade_set | src/mgr/DaemonServer.cc:1347
_populate_crush_bucket_osds | src/mgr/DaemonServer.cc:1248
_prune_pending_service_map | src/mgr/DaemonServer.cc:3237
_send_configure | src/mgr/DaemonServer.cc:3827
_update_upgraded_osds | src/mgr/DaemonServer.cc:1221
_valid_bucket_type_for_upgrade_check | src/mgr/DaemonServer.cc:1236
add_mds_perf_query | src/mgr/DaemonServer.cc:3863
add_osd_perf_query | src/mgr/DaemonServer.cc:3846
adjust_pgs | src/mgr/DaemonServer.cc:3374
asok_command | src/mgr/DaemonServer.cc:3885
call | src/mgr/DaemonServer.cc:164
dump | src/mgr/DaemonServer.cc:1539
dump_pg_ready | src/mgr/DaemonServer.cc:406
fetch_missing_metadata | src/mgr/DaemonServer.cc:557
finish | src/mgr/DaemonServer.cc:1026
get_mds_perf_counters | src/mgr/DaemonServer.cc:3880
get_myaddrs | src/mgr/DaemonServer.cc:290
get_osd_metadata | src/mgr/DaemonServer.cc:1512
get_osd_perf_counters | src/mgr/DaemonServer.cc:3858
get_tracked_keys | src/mgr/DaemonServer.cc:3795
got_mgr_map | src/mgr/DaemonServer.cc:3762
got_service_map | src/mgr/DaemonServer.cc:3711
handle_close | src/mgr/DaemonServer.cc:714
handle_command | src/mgr/DaemonServer.cc:1032
handle_command | src/mgr/DaemonServer.cc:1044
handle_conf_change | src/mgr/DaemonServer.cc:3803
handle_mds_perf_metric_query_updated | src/mgr/DaemonServer.cc:529
handle_open | src/mgr/DaemonServer.cc:581
handle_osd_perf_metric_query_updated | src/mgr/DaemonServer.cc:513
handle_report | src/mgr/DaemonServer.cc:754
handle_update | src/mgr/DaemonServer.cc:671
init | src/mgr/DaemonServer.cc:183
