# Non-merge commits touching src/mgr/Mgr.cc and/or src/mgr/Mgr.h (rename-aware, newest first)
# Format: SHA date author | subject
# collected_at: 2026-09-14T18:08:19Z  head: 8681fa6ebac230f86eb445bf57095c63e7f1abcc
#
75b6149b294e16b9463c05d270adf0e9f51a4268 2026-05-21 Steven Zuraski | common/TrackedOp: make OpHistory::on_shutdown() idempotent
fd4d4ce58b8616a8d87e244bb5f3c367dd20cf63 2026-05-21 Steven Zuraski | mgr/DaemonServer: add explicit DaemonServer shutdown handling
403340bcf8c2122afff708519f176baa6b646fc1 2025-07-17 Nitzan Mordechai | mgr: replace TTLCache with MgrMapCache and protect api with readonly
ec59888070246a8c4192e7c146bd7b3799bf9719 2026-05-29 senol.colak | mgr: preserve reported hostname when CRUSH host is unavailable
dcd9c5bac5e2670efd726e1ae89bc264bd404671 2026-05-27 senol.colak | mgr: override OSD hostname with CRUSH physical host in all metadata paths
e9abc5ce0bb784d2bdca887dfe8e7b003316eb38 2025-08-14 Max Kellermann | mgr/DaemonState: forward-declare class DaemonHealthMetric
68221661b00f8a6bef0fbd7b5401aa49eb5118d0 2025-09-11 Laura Flores | mgr, qa: add `pending_modules` to asock command
bf25a08cc58c8e872806e92dd36d9ff91e5523d9 2025-07-29 Laura Flores | mgr, common, qa, doc: issue health error after max expiration is exceeded
cbd1726fde08692848b5c0e42c06e4f089ebcd5c 2025-04-25 Laura Flores | mgr: ensure that all modules have started before advertising active mgr
4adaf64d7187778965f1a0f6e7d04efc809a2a7b 2025-10-02 Edwin Rodriguez | Add blank line after header block
85d82faac250716549ebffeb9eb48f3b4f53711f 2025-10-01 Edwin Rodriguez | Update indent settings h
c8c1019d1962166fa290d2f8cc8f2c40cd016168 2025-10-02 Edwin Rodriguez | Add missing blank line after comment block
f1bac41828da8775acb7ea30ff5e3ce2bfe65bde 2025-10-01 Edwin Rodriguez | Update indent settings cc
de566549310733b0eb6571402f51e464ae3e667a 2025-08-19 Max Kellermann | mon/MgrContext: move JSONCommand to separate header
3db2b5767056762287dac6005f99338455f7361b 2025-09-07 Nitzan Mordechai | mgr: remove health msgs from the metrics if osd destroyed
a17349b87afd4b4e66dfe50796e1594b47b13aba 2025-08-12 Max Kellermann | mgr: add missing includes
56cb05775a937159ee0e6e26e30fe204accb5223 2025-02-18 Patrick Donnelly | mgr: indicate map message is acked instead of unhandled
706b2be416246dd5923478d8a7ee015246f03e95 2025-01-30 Patrick Donnelly | mgr: use std namespace
f20df2eb8545f2a4fc16acdde5edcb611868522e 2025-01-30 Patrick Donnelly | mgr: excise CephFS client from mgr C++ base
ae5aadf538c57cfd20e42f21fb3b7e46b5fe3a58 2024-11-01 Max Kellermann | mgr/Mgr: add missing include
282558cf40274366360bb3b1ec0fa102fbb592a6 2024-04-19 Cory Snyder | mgr/Mgr.cc: clear daemon health metrics instead of removing down/out osd from daemon state
190f37978f72493ed34f02e919d9b89c405d0962 2024-03-07 Patrick Donnelly | mgr: process map before notifying clients
dd9f9e268b5562bae8972bce03ec0970f353ae14 2023-11-02 Ramana Raja | mgr/Mgr: remove shutdown() and handle_signal()
3072b113242e01ed54a2154157f734e671d13a1a 2023-10-13 shimin | mgr: remove out&down osd from daemons
e72194b42ce1921e4b687fbed94e9d199923e77b 2023-02-27 Patrick Donnelly | mgr: rework register_client to take name and replace
07ad8df2dd74f2fb4bbde6332a04cc5453bff435 2021-10-23 Sage Weil | common/admin_socket: pass inbl to sync call() method
bbb1574eabf0945a626aeeb44ceb3dbb24d4391e 2022-02-14 Casey Bodley | mgr: use constexpr string_view as input to format()
d3c8f171e9aaa9cbf970b6dadda5837ca9b030c7 2021-12-02 Sage Weil | mgr: stop issuing events that no modules consume
5096685cd623de71a7c45a667e1dd776357fd997 2021-11-24 Sage Weil | mgr: fix locking for MetadataUpdate::finish
c63ecb602e5916d5e0beed137787fdfc67707f15 2021-08-11 Kefu Chai | mgr: build without "using namespace std"
b1e78c4177484725d00326b3bd90aca5b8eb7b7c 2021-04-13 Greg Farnum | mgr: do not require sqlite3.h if WITH_LIBCEPHSQLITE=OFF
52446d00f647533f24e412dc8685a28d246bbdf2 2021-01-28 Patrick Donnelly | mgr: add ceph sqlite VFS
3dbc1f0578d944217ad2bacb58ef561e678abb6c 2021-03-18 Sage Weil | mgr: tell monc when we get new servicemap, fsmap
b356fd0a8c65b4f6dad9e51286df380e6974f842 2021-03-12 Sage Weil | mgr: wait for ~3 beacons on startup if mons are pre-pacific
8fc290bfba4d71a60d30c2374ce4bcba37e649de 2021-03-09 Kefu Chai | mgr: add mon metada using type of "mon"
3bafb5e571681dd71df35bf1863a95d69142d02d 2021-02-16 Sage Weil | mgr: rename config_prefix -> mgr_store_prefix
edf1ea2f50927b97a4271c6754f855421dd4d4d0 2021-02-16 Sage Weil | mgr: use new kv subscription for mgr/, device/, config/
c037f4cb5d7436879d58c34748ef516b5269781f 2021-01-16 Kefu Chai | mgr: update mon metadata when monmap is updated
70e99e76b5f63265f6b2700f8af77ece4f1dd11b 2020-11-25 Kefu Chai | mgr: do not migrate conf from config-key store to new-style conf
4e2d344eb34df86bbb290193c1d2a94ef077b4e3 2020-08-28 Kefu Chai | mgr: use range-based loop
79785efbdb7559fcf78756cf2de2739dfeb7e75e 2020-08-28 Kefu Chai | mgr/Mgr: have smaller lexical scope of local var
dfd01d765304ed8783cef613930e65980d9aee23 2020-06-15 Sage Weil | blacklist -> blocklist
b2582ee8a440788b4aef4d26baa4cc2b67b1d579 2020-07-14 Liao Pingfang | mgr: Remove the superfluous break
3e056ca5c6d2359ff585b3c4223506992b96e857 2020-03-10 Sage Weil | mgr: add 'mgr_status' tell command
73078cf73c3a51f33ecb97eebbb97dbcd4089171 2020-03-05 Kefu Chai | mgr: update metadata if an osd just joins
e3d3d0501e5095ce557e2e4ccaefc294a7d5c08c 2020-03-05 Kefu Chai | mgr: update "hostname" when we already have the daemon state from the same entity
48c4bc445fcacd7980e84b4f135a3115b88b05f1 2019-12-18 Kefu Chai | mgr: drop the compatibility with python2
3363a1001c7bb95763cdb7d8a9c2ebaff35a2cdd 2019-12-05 Sage Weil | mgr: simply exit on SIGINT or SIGTERM
f2986a4400bb73d5ed3a80f626011609976c375a 2019-11-21 Patrick Donnelly | mon/MgrMonitor: blacklist previous instance
ce6013cd321e92a245c575a9d9ef9a8b032760d6 2019-11-15 Sage Weil | mgr: _exit(0) from signal handler even if we are standby
3d360b97ed7dead8e9a5f602cfaf61ab7b41e531 2019-10-14 Venky Shankar | mgr: invoke plugin shutdown on SIG{TERM,INT} signals.
5aac7eba36be99861eb8726872e339ff55360f47 2019-09-29 Kefu Chai | mgr: use a struct for DaemonKey
489b30844e86dab102f768796251783b6e4a5f8f 2019-08-14 Patrick Donnelly | include: convert FunctionContext usage to generic LambdaContext
5d3c1856415f8b66e31361a0a7b9c75edc46e49e 2019-07-09 David Zafman | mgr: Add "dump_osd_network" mgr admin request to get a sorted report
c93dc8849145c1630058e4c0e527f404929216ff 2019-07-07 Kefu Chai | mgr: s/Mutex/ceph::mutex/
dffce107fb68e21cd85938d67115bdafe4e697eb 2019-07-22 Sebastian Wagner | mgr: cleanup idle debug log at level 4.
a50a91d24349c8147c53f7aa109974160e8db120 2019-04-15 Kefu Chai | mgr/{Mgr,MgrStandby}: use ref_t<M>
8665a892f6eb5ab7afd19888fe266e9f8bc395d9 2019-03-14 Xie Xingguo | mgr/Mgr: kill redundant sub_unwant call
92b2fe9e653f69ea855fa759a091ed75033bd7e0 2019-01-30 Sage Weil | mgr/Mgr: print bad (non-object) json
3c333f3599642f29dc7a080570ed6b1954e49dce 2019-01-15 Xinying Song | mgr: Apply sanity check for daemon metadata
430ba5e231d6929a004a9758d31b426ecbe43951 2018-12-30 Xinying Song | mgr: request mon metadata when receiving a report msg from an unknown monitor
03a761c980a1171fe6adf7a463f3ab80ec6d4052 2018-11-15 Sage Weil | mgr: lock pg_map too for osd_pool_stats and notify_osdmap
8a2f4429b129a24a72fdbc374075bba954be5bd3 2018-10-18 Sage Weil | mgr: adjust DaemonState device index when daemon metadata is updated
948635a8b2130b561fae08bd5b2405a2dc6d3e9f 2018-10-16 Sage Weil | mgr: Mutex::Locker -> std::lock_guard
80cee1d98816f6d48dbe038412f1e9486c493556 2018-09-18 Sage Weil | mgr: parse mon metadata properly
95746ecce9215c8428a02f1745d03e10536a4129 2018-09-24 Volker Theile | mgr: Add ability to trigger a cluster/audit log message from Python
ef88206d1c2ef72b2a1073f0017ff823f4436b78 2018-08-31 Noah Watkins | mgr: remove dead code
ab23c506964753990f9fe23e314b9f3e2547a773 2018-08-23 Adam C. Emerson | mgr: Use ceph_assert for asserts.
3068c4290166076093119d1dc08a2c0fada8235f 2018-07-26 Noah Watkins | mgr: report health check changes immediately
934443e2452f97184448210d11850285990b4384 2018-07-26 Noah Watkins | mgr: remove unused timer member
ea1481d08d561cdf0229e440b70b88fe336d3f89 2018-06-12 Sage Weil | mds: addr -> addrvec
f30843581d0809d7b11d6e6d91d85ea6fd7fe8d6 2018-06-12 Sage Weil | mgr: myaddr -> myaddrs
721335d55bda84552dc343ca1e44578492333a09 2018-05-14 Danny Al-Gaaf | mgr: use static_cast instead of c-style casts
45d4dfed1ded628abcbb9f1c62dfb90095414f0d 2018-06-05 Sage Weil | mgr: load persistent device metadata on mgr stat
