# Non-merge commits touching src/mgr/MgrClient.cc and/or src/mgr/MgrClient.h (rename-aware, newest first)
# Format: SHA date author | subject
# collected_at: 2026-09-14T18:08:19Z  head: 8681fa6ebac230f86eb445bf57095c63e7f1abcc
#
7fd618c288952060658a7f39963d3fc4e65d7f37 2026-07-08 Patrick Donnelly | mgr/MgrClient: stop processing messages when shutdown
24662ab60e6518d068b9b21abfff7aca24844a46 2026-07-23 Bill Scales | mgr: Don't log null characters in PerfCounter paths
119f9ad1980e938c5fe9d698bab8e143b9cec114 2024-11-13 Max Kellermann | mgr/MgrClient: un-inline destructor to reduce compile times
4adaf64d7187778965f1a0f6e7d04efc809a2a7b 2025-10-02 Edwin Rodriguez | Add blank line after header block
85d82faac250716549ebffeb9eb48f3b4f53711f 2025-10-01 Edwin Rodriguez | Update indent settings h
c8c1019d1962166fa290d2f8cc8f2c40cd016168 2025-10-02 Edwin Rodriguez | Add missing blank line after comment block
f1bac41828da8775acb7ea30ff5e3ce2bfe65bde 2025-10-01 Edwin Rodriguez | Update indent settings cc
f82ab1cbf242ca61c45ce31a756d8646710957eb 2025-08-12 Max Kellermann | mgr, mon, osdc: pass complex parameters by rvalue reference
d8141f4302ad7631a3a068e5017e9b018d6cb741 2025-04-25 Kefu Chai | mgr: migrate from boost::variant to std::variant
f941025561ecd6e42b032980d77555ef2540aa70 2025-03-19 Naveen Naidu | mgr: do not ignore labeled perf counters in MMgrReport
c9d0913f53b0c4d632746075c05c2f2187d77c02 2025-02-18 Patrick Donnelly | msg: add alternate statuses for ms_dispatch2 handling
aeeb15ea7d67fa81ac518f089c127dd458dc8f1c 2024-10-28 Max Kellermann | mgr/MgrClient: include cleanup
d02d77f334d8d5f627bba6082bacb24edf0a2c72 2023-07-17 Jimyeong Lee | client: Add multi_target_id to handle libcephfs mds_spce=* command
4e89ce7e72095548dbbbfe470aa9ec2e8947535c 2023-04-18 Pere Diaz Bou | mgr/prometheus: rename get_unlabeled_perf_counters, no send labeled pc
6540937a6d1865642dd799b4996d85d2ee9a99ad 2022-06-24 Prashant D | mgr: Remove service_daemon handling from MMgrUpdate
1a065043b964f8c014ebb5bc890a243c398ff07c 2022-03-28 Prashant D | mgr, mon: Keep upto date metadata with mgr for MONs
704a759b31d839ddffcdaa78d1d73653b9519eb0 2021-02-04 Kefu Chai | mgr/MgrClient: use mono_clock for clock_t used by Timer
8b6f5ead1334ecece72401c89b1137ce5175d4e5 2021-02-01 Sage Weil | mgr/MgrClient; less copying of mgr report struct
c92ba33505ad98ed42ebb7fab486d8ef201a1ed3 2020-04-30 Venky Shankar | mgr: set `task_dirty_status` on reconnect
3fdfd606f1344317931207e3d3c123d62acb673b 2020-06-23 Radoslaw Zarzynski | common/bl, *: deprecate list::claim() in favor of operator=(list&&).
f6ba1eea4cde2354e639518210a56d157081ecac 2019-09-10 Venky Shankar | mds: forward mds metrics to ceph manager w/ quering interfaces
4ccebbfa2f27d08fbdf55c1017ef70cb42a0e2f9 2020-03-07 Adam C. Emerson | mgr: Build target 'common' without using namespace in headers
efcebe1eb4ae16ea9c633436e3e105add4a2662c 2019-09-10 Venky Shankar | mgr: templatize/generalize metrics collection interface
