# Function list for MgrClient (via ctags)
# Format: qualified_name | file:line
#
MgrClient | src/mgr/MgrClient.cc:60
__anon00ecf50b0302 | src/mgr/MgrClient.cc:335
__anon00ecf50b0402 | src/mgr/MgrClient.cc:352
__anon00ecf50b0602 | src/mgr/MgrClient.cc:362
_send_open | src/mgr/MgrClient.cc:253
_send_pgstats | src/mgr/MgrClient.cc:461
_send_report | src/mgr/MgrClient.cc:341
_send_stats | src/mgr/MgrClient.cc:328
_send_update | src/mgr/MgrClient.cc:273
format_counter_path | src/mgr/MgrClient.cc:46
handle_command_reply | src/mgr/MgrClient.cc:578
handle_mgr_close | src/mgr/MgrClient.cc:502
handle_mgr_configure | src/mgr/MgrClient.cc:468
handle_mgr_map | src/mgr/MgrClient.cc:291
init | src/mgr/MgrClient.cc:72
ms_dispatch2 | src/mgr/MgrClient.cc:119
ms_handle_refused | src/mgr/MgrClient.cc:322
ms_handle_reset | src/mgr/MgrClient.cc:311
reconnect | src/mgr/MgrClient.cc:156
send_pgstats | src/mgr/MgrClient.cc:455
service_daemon_register | src/mgr/MgrClient.cc:635
service_daemon_update_status | src/mgr/MgrClient.cc:659
service_daemon_update_task_status | src/mgr/MgrClient.cc:669
shutdown | src/mgr/MgrClient.cc:83
start_command | src/mgr/MgrClient.cc:509
start_tell_command | src/mgr/MgrClient.cc:542
update_daemon_health | src/mgr/MgrClient.cc:678
update_daemon_metadata | src/mgr/MgrClient.cc:611
~MgrClient | src/mgr/MgrClient.cc:70
HandlePayloadVisitor | src/mgr/MgrClient.h:199
MgrClient | src/mgr/MgrClient.h:113
MgrCommand | src/mgr/MgrClient.h:55
MgrCommand | src/mgr/MgrClient.h:53
MgrCommand | src/mgr/MgrClient.h:54
_send_open | src/mgr/MgrClient.h:105
_send_pgstats | src/mgr/MgrClient.h:210
_send_report | src/mgr/MgrClient.h:211
_send_stats | src/mgr/MgrClient.h:209
_send_update | src/mgr/MgrClient.h:106
handle_command_reply | src/mgr/MgrClient.h:131
handle_config_payload | src/mgr/MgrClient.h:186
handle_config_payload | src/mgr/MgrClient.h:180
handle_config_payload | src/mgr/MgrClient.h:192
handle_mgr_close | src/mgr/MgrClient.h:130
handle_mgr_configure | src/mgr/MgrClient.h:129
handle_mgr_map | src/mgr/MgrClient.h:128
init | src/mgr/MgrClient.h:118
is_initialized | src/mgr/MgrClient.h:177
ms_dispatch2 | src/mgr/MgrClient.h:123
ms_handle_refused | src/mgr/MgrClient.h:126
ms_handle_remote_reset | src/mgr/MgrClient.h:125
ms_handle_reset | src/mgr/MgrClient.h:124
operator () | src/mgr/MgrClient.h:204
reconnect | src/mgr/MgrClient.h:104
send_pgstats | src/mgr/MgrClient.h:146
service_daemon_register | src/mgr/MgrClient.h:167
service_daemon_update_status | src/mgr/MgrClient.h:171
service_daemon_update_task_status | src/mgr/MgrClient.h:173
set_messenger | src/mgr/MgrClient.h:116
set_mgr_optional | src/mgr/MgrClient.h:121
set_perf_metric_query_cb | src/mgr/MgrClient.h:137
set_pgstats_cb | src/mgr/MgrClient.h:147
shutdown | src/mgr/MgrClient.h:119
start_command | src/mgr/MgrClient.h:153
start_tell_command | src/mgr/MgrClient.h:157
update_daemon_health | src/mgr/MgrClient.h:175
update_daemon_metadata | src/mgr/MgrClient.h:163
~MgrClient | src/mgr/MgrClient.h:114
