# Non-merge commits touching src/mgr/MgrStandby.cc and/or src/mgr/MgrStandby.h (rename-aware, newest first)
# Format: SHA date author | subject
# collected_at: 2026-09-14T18:08:19Z  head: 8681fa6ebac230f86eb445bf57095c63e7f1abcc
#
75b6149b294e16b9463c05d270adf0e9f51a4268 2026-05-21 Steven Zuraski | common/TrackedOp: make OpHistory::on_shutdown() idempotent
d8dde402b6dae6b6ebe0ee765bb83b25b0443271 2026-06-30 Kefu Chai | mgr: add heap admin socket command
a3dad559e87600b394d80cd51b244b0dcc3f31d9 2026-06-14 Nitzan Mordechai | mgr: handle SIGTERM/SIGINT in standby mgr to avoid CEPHADM_FAILED_DAEMON
bf25a08cc58c8e872806e92dd36d9ff91e5523d9 2025-07-29 Laura Flores | mgr, common, qa, doc: issue health error after max expiration is exceeded
4adaf64d7187778965f1a0f6e7d04efc809a2a7b 2025-10-02 Edwin Rodriguez | Add blank line after header block
85d82faac250716549ebffeb9eb48f3b4f53711f 2025-10-01 Edwin Rodriguez | Update indent settings h
c8c1019d1962166fa290d2f8cc8f2c40cd016168 2025-10-02 Edwin Rodriguez | Add missing blank line after comment block
f1bac41828da8775acb7ea30ff5e3ce2bfe65bde 2025-10-01 Edwin Rodriguez | Update indent settings cc
4a7976a57c1ff823753c1c25274b6482f0a8c8ea 2025-03-24 Patrick Donnelly | mgr: add status command
2d4b4235fc255fd2a9b114627d9697718795790b 2025-02-25 Ronen Friedman | mon,mgr: replace obsolete get_tracked_conf_keys()
56cb05775a937159ee0e6e26e30fe204accb5223 2025-02-18 Patrick Donnelly | mgr: indicate map message is acked instead of unhandled
c9d0913f53b0c4d632746075c05c2f2187d77c02 2025-02-18 Patrick Donnelly | msg: add alternate statuses for ms_dispatch2 handling
f20df2eb8545f2a4fc16acdde5edcb611868522e 2025-01-30 Patrick Donnelly | mgr: excise CephFS client from mgr C++ base
dd9f9e268b5562bae8972bce03ec0970f353ae14 2023-11-02 Ramana Raja | mgr/Mgr: remove shutdown() and handle_signal()
e27f6c6a856d6ba7cad08bb933ec84e226aae6ad 2023-03-01 Radoslaw Zarzynski | msg: always generate random nonce; don't try to reuse PID
15dfa71cf7c8ff761f305638a89438b0551d64cf 2021-05-26 Pere Diaz Bou | mgr: TTLCache basic implementation
bb09a1d7e2c5dd29bbdfc70a24bd35ab5a0ce60a 2021-10-17 Ronen Friedman | common: hide internal logger configuration strings from clients
c63ecb602e5916d5e0beed137787fdfc67707f15 2021-08-11 Kefu Chai | mgr: build without "using namespace std"
218f4cefea087eadcd8ddf47d719beda1cb6370b 2021-05-28 Sage Weil | mgr: make mgr commands compat with pre-quincy mon
35d2146c1a801a2b478a19b9d62af0f10279fd34 2021-04-13 Sage Weil | mgr/MgrStandby: add mgr_standby_modules option
73af779d314902f2af9d62e86a5adb17fb9f5d00 2021-04-16 Sage Weil | mgr/MgrStandby: fix config observer
efc29fb3630aaab4e04d99621c40561d38a99c03 2021-04-16 Sage Weil | mgr/MgrStandby: respawn if mgr_standby_modules changes
c15e197ca00b2caad1abeac030d2e387b5fd32b2 2021-03-01 Luo Runbing | mgr: create client messenger using ms_public_type
95f80dda9dae788aefb4a1f2a85d55405f3f1cb5 2021-02-16 Sage Weil | mgr/MgrStandby: simplify weird code
19000fad573138b2b0576c093237c4a708b76020 2020-12-03 Neha Ojha | mgr: don't add config values to mgr log in config_callback and module_config
a8a23747aa081d938c9b277ab42507dd506bf6c2 2020-10-02 Patrick Donnelly | osdc: add timeout configs for mons/osds
b835b07bc3c2936169dc3e6a212a2e29885246f7 2020-10-02 Patrick Donnelly | mgr: log reason for respawn
4d6b678736e9afee3a0a2556ec5af874e32078bf 2020-09-17 Liu Changcheng | messenger: remove unused variable
dfd01d765304ed8783cef613930e65980d9aee23 2020-06-15 Sage Weil | blacklist -> blocklist
306eebe05bec1220b2477a66b6501da222bacdfc 2020-04-28 Adam C. Emerson | monc: Asifoact MonClient
e3a050403751f6e1283381a09b6553a29e29f835 2020-04-28 Adam C. Emerson | osdc: Asiofact the Objecter
ad0bbc8f78a632b1008f624ffb6090f86731a0e0 2020-02-28 Sage Weil | msg: add get_{pid,random}_nonce() helpers
df507cde8d71063d5873a42f668156e4c32e86f9 2019-12-02 Patrick Donnelly | mgr: forward RADOS client instances for potential blacklist
78576c9eecf2209ab69bccb17a2f862db8beffbf 2019-12-02 Patrick Donnelly | mgr: use more efficient data structure
