# Non-merge commits touching src/mgr/OSDPerfMetricCollector.cc and/or src/mgr/OSDPerfMetricCollector.h (rename-aware, newest first)
# Format: SHA date author | subject
# collected_at: 2026-09-14T18:08:19Z  head: 8681fa6ebac230f86eb445bf57095c63e7f1abcc
#
85d82faac250716549ebffeb9eb48f3b4f53711f 2025-10-01 Edwin Rodriguez | Update indent settings h
f1bac41828da8775acb7ea30ff5e3ce2bfe65bde 2025-10-01 Edwin Rodriguez | Update indent settings cc
d8141f4302ad7631a3a068e5017e9b018d6cb741 2025-04-25 Kefu Chai | mgr: migrate from boost::variant to std::variant
7523aef6e8656952418d17227c877952f9370f95 2019-08-26 Venky Shankar | mgr/stats: mds performance stats module
efcebe1eb4ae16ea9c633436e3e105add4a2662c 2019-09-10 Venky Shankar | mgr: templatize/generalize metrics collection interface
c93dc8849145c1630058e4c0e527f404929216ff 2019-07-07 Kefu Chai | mgr: s/Mutex/ceph::mutex/
b1f12671184a8da25c1b0059f23bf366483e395f 2018-11-23 Mykola Golub | mgr: add limit param to osd perf query
438a3f7bc40c66b14b7f61959f8dd691ea0b5220 2018-11-12 Mykola Golub | mgr: store osd perf counters received in osd reports
f495b8cce9014d3459f41691ad5eb7ca1fc9d153 2018-09-23 Mykola Golub | osd: collect client perf stats when query is enabled
948635a8b2130b561fae08bd5b2405a2dc6d3e9f 2018-10-16 Sage Weil | mgr: Mutex::Locker -> std::lock_guard
a6c3390834759e3f953962d46cc7c840c9970046 2018-10-03 Mykola Golub | mgr: create shell OSD performance query class
