# Non-merge commits touching src/mgr/PyModule.cc and/or src/mgr/PyModule.h (rename-aware, newest first)
# Format: SHA date author | subject
# collected_at: 2026-09-14T18:08:19Z  head: 8681fa6ebac230f86eb445bf57095c63e7f1abcc
#
18c4e08ccddde9710cded2df7e0becc2dde7e56c 2026-08-11 Sebastian Marschke | mgr: don't record a crash dump for NotImplementedError from dispatch_remote
e61de15ddb8502abcd74c01617e0c8416bd77bd1 2026-07-12 Kefu Chai | mgr: forward the root-logger fallback at the record's own level
3705db897484743849dd9ec417a7aa94f4e0f77b 2026-06-24 Kefu Chai | mgr: route the root-logger fallback through a module-independent sink
d3c8d3fc6566d3c909d36875d9ba05345fc90cb2 2026-06-16 Sun Yuechi | crimson,mgr: mark assert-only variables [[maybe_unused]]
95a90f7da8a32dd2a5a1e3b381aaeacea378437b 2024-12-08 Nitzan Mordechai | mgr: Add per-module performance counters to mgr
a89074c6bee999a10952c24c5b6afc2bc05e54bf 2026-03-29 Kefu Chai | mgr: replace deprecated PyImport_ImportModuleNoBlock with PyImport_ImportModule
239b0dc8a9c42449ee1faa1bf78bdcc380345ae2 2025-11-07 Samuel Just | mgr: add mgr_subinterpreter_modules config
f69069e114ea8c785d6c27c57560a0b9bb8c16be 2025-10-24 Samuel Just | mgr: serialize python objects sent between subinterpreters via remote
18cb6bf5ad94b7452b0f4e3a558913f662246c9b 2025-12-04 Kefu Chai | mgr/PyModule: clear Python exception when NOTIFY_TYPES is missing
4adaf64d7187778965f1a0f6e7d04efc809a2a7b 2025-10-02 Edwin Rodriguez | Add blank line after header block
85d82faac250716549ebffeb9eb48f3b4f53711f 2025-10-01 Edwin Rodriguez | Update indent settings h
c8c1019d1962166fa290d2f8cc8f2c40cd016168 2025-10-02 Edwin Rodriguez | Add missing blank line after comment block
f1bac41828da8775acb7ea30ff5e3ce2bfe65bde 2025-10-01 Edwin Rodriguez | Update indent settings cc
3ab70dd3e1150b2b3f66cbbee329ea95618747a5 2024-10-16 Max Kellermann | common/Formatter: move {JSON,Table,XML}Formatter to separate files
3366ef5153f3af8fa4d83dfc40a4a4a4fad7557d 2025-02-09 Nitzan Mordechai | PyModule: Fix memory leak in load
c1614fe7b89374095c4b434946d221ecfe512fb9 2025-02-09 Nitzan Mordechai | PyModule: Fix memory leak in load_subclass_of
d44b2227cdc6d1e2ad4b242473f6c392419d6fbf 2025-01-06 Adam C. Emerson | mgr: Work around bug in Boost MPI/Python
92aa60e999609f8bfd79e76ca811f66ba4cb7280 2024-10-11 Max Kellermann | mgr/PyModule: get_error_string() returns copy
2cdb67c2fe1c8d21759bda5b2ca7acbd61746148 2024-10-11 Max Kellermann | mgr/PyModule: do not lock in get_name()
51a5774aa605f3b976ced47902e15ce450f50339 2024-02-03 Kefu Chai | mgr: add site package paths in PyModuleRegistry
07773617f339a2779aa7cf910c0361c937ffe4c2 2024-02-03 Kefu Chai | mgr: set argv for python in PyModuleRegistry
0d94eebb0dd1b3e2afdde92e1c1051affded46f2 2024-04-19 Patrick Donnelly | mgr: allow specifying module option level
4589c4d8ac524206d4fb6349b07c5a4e83f926dc 2024-04-26 John Mulligan | mgr: do not require NOTIFY_TYPES in python modules
6f0ce7a6e99c900e97a18ab7e2c766791a474f8f 2024-04-02 Adam King | Revert "Merge pull request #55436 from tchaikov/mgr-python-3.12"
45832deb6ccdc4886a27cf506bb46e9edacd3299 2024-02-03 Kefu Chai | mgr: add site package paths in PyModuleRegistry
e417c1c935a35dbed838f1e664729647817a47e2 2024-02-03 Kefu Chai | mgr: set argv for python in PyModuleRegistry
ee4e3ecd6e0754854c00f3dfa0eaaa17bbf3603d 2021-12-02 Sage Weil | mgr: only queue notify events that modules ask for
c63ecb602e5916d5e0beed137787fdfc67707f15 2021-08-11 Kefu Chai | mgr: build without "using namespace std"
a41b62bd85688bec566a7760cea95341bcb7a953 2021-06-27 Kefu Chai | mgr,mon: s/boost::optional/std::optional/
1ecda507eb35d9ff0b056d68b2f3b47e8bc2afb8 2021-06-19 Sage Weil | mgr/telemetry: redact python crash dump in telemetry
719d5e1836c95bcbc446dbeb7d8f03adefd02a3e 2021-06-18 Sage Weil | mgr: generate crash dump for python exceptions
52d1473f13eb47cbf3bb6412e09d6a1dc7879f0e 2021-05-08 Kefu Chai | mgr/PyModule: use Py_ssize_t for the PyList index
8638f526a9d04c3dfd758073980d709165070336 2021-03-31 Kefu Chai | mgr/PyModule: put mgr_module_path before Py_GetPath()
75bbe6863f5f68567b2011fdbdee1cb6ddf19b79 2021-02-22 Kefu Chai | mgr: return the error if set_config() fails
3bafb5e571681dd71df35bf1863a95d69142d02d 2021-02-16 Sage Weil | mgr: rename config_prefix -> mgr_store_prefix
