# Non-merge commits touching src/mgr/ServiceMap.cc and/or src/mgr/ServiceMap.h (rename-aware, newest first)
# Format: SHA date author | subject
# collected_at: 2026-09-14T18:08:19Z  head: 8681fa6ebac230f86eb445bf57095c63e7f1abcc
#
85d82faac250716549ebffeb9eb48f3b4f53711f 2025-10-01 Edwin Rodriguez | Update indent settings h
f1bac41828da8775acb7ea30ff5e3ce2bfe65bde 2025-10-01 Edwin Rodriguez | Update indent settings cc
f6387fd81c6e23dbfb14edbd21185e1a753a249a 2025-08-26 Kefu Chai | src: replace push_back(T{}) with emplace_back()
ed6b71246137f9793f2d56b4d050b271a3da29fd 2025-06-09 Kefu Chai | src: Fix memory leaks in generate_test_instance() by returning values instead of pointers
0f367a5f9b331090a34f78e0185bfce3756c3dac 2024-10-25 Max Kellermann | mgr/ServiceMap: add missing includes
c63ecb602e5916d5e0beed137787fdfc67707f15 2021-08-11 Kefu Chai | mgr: build without "using namespace std"
3adad9309a891baaafdae8ff653925b417acc2cd 2021-07-31 Kefu Chai | mgr/ServiceMap: do not include unused headers
ab0d8f2ae9f551e15a4c7bacbf69161e91263785 2021-03-19 Sage Weil | mgr/ServiceMap: adjust 'ceph -s' summary
a968f65d784b3d6c6a172929aa293f09e6917fa6 2021-02-04 Xiubo Li | mgr: enhance the rados service
e0cfad08b670affd3468be4eabccd7d5d8285cf8 2020-07-16 Kefu Chai | mon: refactor ServiceMap::Service::get_task_summary()
310e33cf9a6ce7987d82566dba9ebc6b97c18a19 2020-07-16 Kefu Chai | mgr/ServiceMap: move ServiceMap::Daemon implementation into .cc file
7305acda01b1f4b66327cd2ce5e6b12acfb65de6 2020-07-16 Kefu Chai | mon: only dump non-empty "task status"
79503fc16749ed0cfe8a89ea3b3c8c792d6b8809 2020-02-08 Venky Shankar | mgr: helper function to check if a service is a normal ceph service
3e65551d0ab4acafaf4012601987b3391b2411ed 2019-08-25 Kefu Chai | mgr/ServiceMap: use plain gid
5c25a018643b10aa78db8270cae1476f71d8f4f4 2019-07-02 Venky Shankar | mgr, mon: allow normal ceph services to register with manager
45eeca27deb27905d0d2a5137dab1117b66969f4 2019-03-28 Adam C. Emerson | mgr: Update ServiceMap to work without using namespace
394baa0b7935853bbbb67f483f680100fcd54463 2018-12-13 João Eduardo Luís | mgr/ServiceMap: show service's id on summary
671641df5af03c296c6d8f2869ed624a1d6e9f17 2019-01-08 Sage Weil | mgr/ServiceMap: print daemon addr in legacy format
f146c6c514b7f1ab8a2420edb5f7b64702bc9639 2018-05-15 Kefu Chai | core: use const_iterator for decode
156c941ad0d27c3cd487a085e04df9faeeffa768 2017-12-25 Adam C. Emerson | mgr: Use unqualified encode/decode
293b7ba956298c9533628006b70998604d8b4dcd 2017-07-20 Sage Weil | mgr/ServiceMap: fix typo in service status summary
80a42122a023df2e716738fd06bef2d2a49dce8f 2017-07-20 Sage Weil | mon: 'versions' command to show running versions for daemons of all types
ee5835dfb53c8f6cb892990e802ac3fd2cfa493f 2017-06-27 Sage Weil | mon: make service summary string customizable; simple default
7fce6382f2c35e767dcf326c088bc31e650386d3 2017-06-26 Sage Weil | mgr: add ServiceMap
